iter	Passed	Remaining
0	18	5424
1	41	6164
2	60	6005
3	81	6019
4	99	5886
5	124	6080
6	149	6247
7	171	6246
8	195	6320
9	217	6311
10	242	6373
11	263	6326
12	283	6266
13	306	6261
14	327	6222
15	349	6194
16	370	6175
17	386	6061
18	408	6040
19	423	5930
20	438	5829
21	454	5737
22	467	5634
23	482	5543
24	495	5455
25	510	5378
26	525	5310
27	543	5277
28	557	5213
29	572	5152
30	587	5094
31	602	5042
32	617	4994
33	631	4944
34	645	4888
35	660	4842
36	678	4824
37	693	4778
38	707	4735
39	722	4696
40	740	4678
41	755	4642
42	770	4607
43	784	4565
44	801	4541
45	818	4521
46	834	4489
47	848	4457
48	863	4423
49	877	4388
50	891	4352
51	905	4320
52	921	4295
53	936	4265
54	954	4250
55	968	4222
56	983	4194
57	998	4166
58	1013	4141
59	1029	4117
60	1046	4098
61	1064	4087
62	1084	4078
63	1098	4051
64	1113	4027
65	1129	4003
66	1144	3979
67	1159	3954
68	1174	3930
69	1187	3902
70	1201	3875
71	1221	3867
72	1234	3839
73	1250	3819
74	1267	3803
75	1282	3779
76	1296	3755
77	1312	3734
78	1328	3715
79	1343	3693
80	1360	3677
81	1374	3653
82	1388	3630
83	1403	3607
84	1416	3583
85	1435	3572
86	1449	3549
87	1464	3528
88	1480	3509
89	1502	3506
90	1517	3484
91	1531	3463
92	1546	3443
93	1562	3423
94	1576	3401
95	1591	3382
96	1606	3362
97	1625	3350
98	1639	3328
99	1653	3307
100	1668	3287
101	1682	3265
102	1696	3245
103	1711	3224
104	1726	3205
105	1740	3185
106	1758	3171
107	1772	3151
108	1790	3136
109	1807	3121
110	1822	3103
111	1837	3084
112	1851	3063
113	1866	3045
114	1881	3026
115	1903	3018
116	1919	3002
117	1934	2983
118	1948	2963
119	1963	2945
120	1977	2926
121	1991	2905
122	2006	2887
123	2025	2874
124	2044	2862
125	2063	2849
126	2077	2830
127	2093	2812
128	2106	2792
129	2121	2774
130	2136	2756
131	2151	2738
132	2169	2723
133	2184	2706
134	2200	2689
135	2216	2672
136	2231	2654
137	2245	2635
138	2260	2618
139	2275	2600
140	2289	2581
141	2307	2567
142	2322	2550
143	2338	2533
144	2352	2515
145	2368	2498
146	2382	2480
147	2398	2462
148	2413	2445
149	2428	2428
150	2444	2412
151	2459	2395
152	2476	2379
153	2492	2362
154	2507	2345
155	2522	2328
156	2536	2309
157	2549	2291
158	2564	2274
159	2582	2259
160	2597	2242
161	2612	2225
162	2627	2208
163	2642	2191
164	2656	2173
165	2671	2156
166	2687	2140
167	2700	2121
168	2718	2107
169	2732	2089
170	2748	2073
171	2764	2057
172	2779	2040
173	2795	2024
174	2813	2009
175	2831	1994
176	2846	1978
177	2861	1961
178	2876	1944
179	2891	1927
180	2906	1910
181	2921	1894
182	2937	1877
183	2955	1863
184	2970	1846
185	2983	1828
186	2997	1811
187	3011	1794
188	3026	1777
189	3041	1760
190	3056	1744
191	3070	1727
192	3086	1711
193	3109	1699
194	3127	1683
195	3142	1667
196	3158	1651
197	3173	1634
198	3187	1617
199	3201	1600
200	3214	1583
201	3236	1570
202	3255	1555
203	3270	1539
204	3291	1525
205	3311	1511
206	3328	1495
207	3344	1479
208	3359	1462
209	3376	1447
210	3392	1431
211	3407	1414
212	3421	1397
213	3436	1381
214	3451	1364
215	3466	1348
216	3480	1331
217	3494	1314
218	3511	1298
219	3525	1282
220	3540	1265
221	3555	1249
222	3570	1232
223	3585	1216
224	3599	1199
225	3615	1183
226	3629	1167
227	3648	1152
228	3663	1135
229	3682	1120
230	3701	1105
231	3828	1122
232	3889	1118
233	3931	1108
234	3947	1091
235	3961	1074
236	3981	1058
237	3997	1041
238	4013	1024
239	4031	1007
240	4046	990
241	4061	973
242	4076	956
243	4090	938
244	4104	921
245	4122	905
246	4136	887
247	4151	870
248	4166	853
249	4181	836
250	4195	819
251	4210	801
252	4225	784
253	4241	768
254	4259	751
255	4274	734
256	4288	717
257	4301	700
258	4316	683
259	4331	666
260	4346	649
261	4361	632
262	4375	615
263	4392	599
264	4410	582
265	4426	565
266	4441	548
267	4455	532
268	4470	515
269	4484	498
270	4498	481
271	4531	466
272	4546	449
273	4561	432
274	4579	416
275	4594	399
276	4609	382
277	4623	365
278	4640	349
279	4653	332
280	4673	316
281	4690	299
282	4719	283
283	4741	267
284	4757	250
285	4775	233
286	4793	217
287	4812	200
288	4830	183
289	4856	167
290	4878	150
291	4895	134
292	4914	117
293	4944	100
294	4964	84
295	4982	67
296	5006	50
297	5025	33
298	5044	16
299	5062	0
